Buncrana,Londonderry 10
Londonderry,Limavady 15
Limavady,Coleraine 12
Portrush,Coleraine 3
Ballymoney,Coleraine 8
Ballymoney,Ballycastle 13
Portrush,Ballycastle 14
Londonderry,Strabane 20
Lifford,Strabane 2
Ballymoney,Ballymena 21 
Draperstown,Ballymena 25 
Draperstown,Magherfelt 9 
Cookstown,Magherfelt 13
Cookstown,Omagh 22
Strabane,Omagh 22
Larne,Ballymena 23
Larne,Carrickfergus 10
Antrin,Carrickfergus 14
Belfast,Carrickfergus 15
Belfast,Lisburn 8
Downpatrick,Lisburn 25
Downpatrick,Newcastle 15
Newry,Newcastle 25
Newry,Armagh 18
Craigavon,Armagh 21
Craigavon,Lisburn 19
Enniskillen,Omagh 32
Lifford,Letterkenny 12
Burtonport,Letterkenny 31
Lifford,Donegal 38
Glenties,Donegal 16
Ballyshannon,Donegal 22
Newry,Dundalk 16
Ardee,Dundalk 19
Ardee,Drogheda 21
Dublin,Drogheda 26
Dublin,Rush 18
Skerries,Rush 2
Skerries,Balbriggan 3
Drogheda,Balbriggan 9
Dublin,Trim 29
AnUaimh,Trim 29
AnUaimh,CeanannusMor 8
Carrickmacross,Dundalk 19
Carrickmacross,Castleblayney 12
Cootehill,Castleblayney 16
Cootehill,Clones 13
Monaghan,Clones 13
Monaghan,Armagh 19
Carrickmacross,Kingscourt 8
Ardee,Kingscourt 12
Oldcastle,CeanannusMor 17
Oldcastle,Cavan 20
Cootehill,Cavan 17
Oldcastle,Longford 23
Carrick-on-Shannon,Longford 24
Carrick-on-Shannon,Boyle 18
Sligo,Boyle 24
Sligo,Ballyshannon 25
Trim,Mulingar 27
Edenderry,Mulingar 28
Edenderry,DroicheadNua 24
Kildare,DroicheadNua 4
Dublin,DunLaoghaire 7
Bray,DunLaoghaire 5
Bray,GreystonesDelgany 5
Wicklow,GreystonesDelgany 9
Naas,DroicheadNua 3
Naas,Dublin 14
Kildare,Portarlington 15
Mountmellick,Portarlington 6
Mountmellick,Maryborough 5
CastlecomerDonaguile,Maryborough 21
Kildare,Athy 9
Athy,Carlow 13
Tullow,Carlow 7
Tullow,Shillelagh 8
Gorey,Shillelagh 11
Gorey,Arklow 12
Arklow,Shillelagh 14
Arklow,Wicklow 24
CastlecomerDonaguile,Kilkenny 17
Kilkenny,Bagenalstown 18
Bagenalstown,Shillelagh 19
Bagenalstown,Carlow 13
